variant,base_variant,split_id,deploy_context_mode,use_z_gru_state,epoch,train_loss,train_bce,val_loss,val_bce,validation_performed,lr,residual_scale,context_dim,batch_size,aux_count_weight,aux_psth_weight,dropout,weight_decay,use_pattern_embedding,use_bit_features,current_bit_feature_mode,current_bit_encoder,use_prev_pattern_context,use_prev_pattern_bit_context,z_history_pattern_mode
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,83,0.0333723085081247,0.0333673734556544,,,False,0.0008,0.3883008062839508,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,84,0.0333245734064332,0.0333196544246953,0.034245064032633,0.0342396613825049,True,0.0008,0.3902548551559448,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,85,0.0333091282817784,0.033304209273282,,,False,0.0008,0.3924178183078766,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,86,0.0332816176306006,0.0332767091025317,0.0341344804148682,0.0341291102245199,True,0.0008,0.3939664363861084,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,87,0.0332581314940132,0.0332532284609218,,,False,0.0008,0.3962260484695434,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,88,0.0332480348507273,0.0332431338186728,0.0342164864619372,0.034211100770033,True,0.0008,0.3977679908275604,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,89,0.0332545546723513,0.033249644390762,,,False,0.0008,0.3998006880283355,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,90,0.033251594028199,0.033246674888976,0.0341680141259925,0.0341626260375267,True,0.0008,0.4018944799900055,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,91,0.0331857789744052,0.033180893424674,,,False,0.0008,0.4041049480438232,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,92,0.0331743650249872,0.033169484416666,0.0341073657719441,0.0341019448398807,True,0.0008,0.4059972763061523,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
